lca_case_employer_name,total_workers
AMR CAPITAL TRADING CORPORATION,14.0
"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.",14.0
GOLDMAN SACHS BANK USA,14.0
POPULUS GROUP,14.0
"FORD MODELS, INC.",14.0
BLUELINE SOFTWARE SERVICES INC.,14.0
LENMAR CONSULTING INC.,14.0
"FRANCIS CAUFFMAN, INC.",14.0
"APPNEXUS, INC.",14.0
OPEN SOCIETY INSTITUTE,14.0
WEISERMAZARS LLP,14.0
"ABAL TECHNOLOGIES, INC",14.0
DIVERSANT LLC,14.0
WSP USA CORP,14.0
"TECHNOFINA SERVICES, INC",14.0
THE NEW SCHOOL,14.0
MAIMONIDES MEDICAL CENTER,14.0
"SG AMERICAS OPERATIONAL SERVICES, INC.",14.0
INFORMATION BUILDERS INC.,14.0
BARUCH COLLEGE,14.0
CLARITY SOLUTIONS GROUP LLC,13.0
"DAILYMOTION, INC.",13.0
SPLENDTEK INC,13.0
"LUCID TECHNOLOGIES, LLC",13.0
"BUZZFEED, INC.",13.0
"LORSIV TECHNOLOGIES, INC.",13.0
"MEDIAOCEAN, LLC",13.0
"SAATCHI & SAATCHI NORTH AMERICA, INC.",13.0
NAVILLUS TILE INC.,13.0
"ERP ANALYSTS, INC.",13.0
"ITG SOFTWARE SOLUTIONS, INC.",13.0
TRANSPERFECT TRANSLATIONS INTERNATIONAL INC.,13.0
SAKS DIRECT LLC,13.0
AXIOM SOFTWARE LABORATORIES INC,13.0
CAVALIER IT INC.,13.0
VSQUARE INFOTECH INC.,13.0
HAVAS WORLDWIDE NEW YORK INC.,13.0
"SHUTTERSTOCK, INC.",13.0
TIFFANY & CO.,13.0
"3I INFOTECH, INC.",13.0
"APTEC, LLC",13.0
KIRKLAND & ELLIS LLP,13.0
CORP2CORP INC,13.0
"THE GAP, INC.",13.0
ALEXANDER WANG INCORPORATED,13.0
JPMORGAN CHASE & CO,13.0
GENPACT LLC,13.0
THE CITY UNIVERSITY OF NEW YORK,13.0
USTWO STUDIO INC.,12.0
"GILT SHARED SERVICES, INC.",12.0
WESTPAC BANKING CORPORATION,12.0
CLS BANK INTERNATIONAL,12.0
"ESSEX TECHNOLOGY GROUP, INC.",12.0
"BORDERFREE, INC.",12.0
ASTIR IT SOLUTIONS INC.,12.0
GROUPM WORLDWIDE LLC,12.0
FITCH RATINGS,12.0
HORIZON TECHNOLOGIES INC,12.0
VIACOM INTERNATIONAL INC.,12.0
"NAVIGANT CONSULTING, INC.",12.0
NATIXIS NORTH AMERICA LLC,12.0
MARSH USA INC.,12.0
"ADMARKETPLACE, INC.",12.0
"SCHRÉDINGER, INC.",12.0
"SENA INFO TECHNOLOGIES, INC.",12.0
TEACHING HOUSE INC,12.0
FIG LLC,12.0
HANDEL ARCHITECTS LLP,12.0
"ARVATO SYSTEMS NORTH AMERICA, INC.",12.0
"THE LEVY GROUP, INC.",12.0
CREDIT SUISSE ASSET MANAGEMENT LLC,12.0
"TEACHERS COLLEGE, COLUMBIA UNIVERSITY",12.0
FIRSTBORN MULTIMEDIA CORPORATION,12.0
COMMONWEALTH BANK OF AUSTRALIA,12.0
GFI SECURITIES LLC,12.0
"PRINCETON BLUE, INC.",12.0
"SMART SOURCE TECHNOLOGIES, INC.",12.0
PROTIVITI INC.,12.0
"TANISHA SYSTEMS, INC.",12.0
"APEX TECHNOLOGY GROUP, INC.",11.0
"ENABIL USA, INC.",11.0
HIGHGATE HOTELS LP,11.0
"MICHAEL KORS USA, INC.",11.0
"ADS ALLIANCE DATA SYSTEMS, INC.",11.0
BERDON LLP,11.0
"ZOCDOC, INC.",11.0
"BDO USA, LLP",11.0
QUADRANT 4 SYSTEM CORPORATION,11.0
"LAKE 5 MEDIA, INC.",11.0
"PACIFIC INVESTMENT MANAGEMENT COMPANY, LLC",11.0
EBAY INC.,11.0
SRA AMERICA INC,11.0
"POPULUS GROUP, LLC",11.0
"WEBMD, LLC",11.0
"PARSONS BRINCKERHOFF, INC.",11.0
"QUIRKY, INC.",11.0
"360I, LLC",11.0
YOUNG & RUBICAM INC.,11.0
"SOTHEBY'S, INC.",11.0
NEW YORK LIFE INSURANCE COMPANY,11.0
PYXIS SOLUTIONS LLC,11.0
INTONE NETWORKS INC.,11.0
"REVAL.COM, INC.",11.0
"SANTANDER BANK, N.A.",11.0
"VEEJAY ASSOCIATES, INC.",11.0
DIASPARK INC,11.0
TIME INC.,11.0
GLOBAL APPLICATIONS SOLUTION LLC,10.0
KOHN PEDERSEN FOX ASSOCIATES P.C.,10.0
PERELLA WEINBERG PARTNERS GROUP LP,10.0
"STELLAR SERVICES, INC.",10.0
"HP ENTERPRISE SERVICES, LLC",10.0
"ANOMALY PARTNERS, LLC",10.0
"FUNCTIONAL LIFE ACHIEVEMENT, INC.",10.0
"UROOJ, LLC",10.0
VISITING NURSE SERVICE OF NEW YORK - HOME CARE INC,10.0
"CIGITAL, INC.",10.0
FIDESSA CORPORATION,10.0
"CHINA MERCHANTS BANK CO., LTD.",10.0
"BGC PARTNERS, INC.",10.0
"JONES LANG LASALLE AMERICAS, INC.",10.0
"INTERNATIONAL RESCUE COMMITTEE, INC.",10.0
PERKINS EASTMAN ARCHITECTS PC,10.0
VIRTUSA CORP,10.0
"ANAGH TECHNOLOGIES, INC.",10.0
"ISMAEL LEYVA ARCHITECTS, P.C.",10.0
"PARAM CONSULTING SERVICES, INC",10.0
"TECHNOFINA, INC.",10.0
NIIT TECHNOLOGIES LIMITED,10.0
AXELON SERVICES CORPORATION,10.0
DLA PIPER LLP (US),10.0
ESSEX LAKE GROUP LLC,10.0
"PACIFIC CULTURE ENTERPRISES,INC",10.0
AZTEK INC,10.0
MANHATTAN TELECOMMUNICATIONS CORPORATION,10.0
STATE UNIVERSITY OF NEW YORK AT STONY BROOK,10.0
"SELSOFT, INC.",10.0
INFOCEPTS LLC,10.0
S. DESIMONE ENGINEERS L.L.C.,10.0
"NEW YORK UNIVERSITY, COURANT INSTITUTE OF MATHEMAT",10.0
"GRANDISON MANAGEMENT, INC",10.0
"DOTCOM TEAM, LLC",10.0
CLEARY GOTTLIEB STEEN &AMP; HAMILTON LLP,10.0
OPEN SOCIETY FOUNDATIONS,10.0
"PROWISE SOLUTIONS, INC.",10.0
ALLTECH CONSULTING SERVICES INC,10.0
"MEDICAL DYNAMIC SYSTEMS, INC.",10.0
"NUTECH INFORMATION SYSTEMS, INC.",10.0
NYCHHC - HARLEM HOSPITAL CENTER,10.0
AXA EQUITABLE LIFE INSURANCE COMPANY,10.0
"BOLD STRIDES SOLUTIONS, LLC",10.0
OPENLINK FINANCIAL LLC,10.0
COTY INC.,10.0
DEPARTMENT OF VETERANS AFFAIRS,10.0
"M. ARTHUR GENSLER, JR. & ASSOCIATES, INC.",10.0
"WORLD BUSINESS LENDERS, LLC",10.0
"THE CJS SOLUTIONS GROUP, LLC",10.0
ST MARKS WORLD INC.,10.0
UNIVERSAL SOFTWARE CORPORATION,10.0
"DROGA5, LLC",9.0
MULTINET INTERNATIONAL INC.,9.0
"POD1, INC.",9.0
BCA WATSON RICE LLP,9.0
ADMERASIA INC.,9.0
SR LABS LLC,9.0
TABATA OXFORD PERSONNEL LLC,9.0
SHISEIDO AMERICAS CORPORATION,9.0
