lca_case_employer_name,total_workers
SESAME WORKSHOP,1.0
"SUMISHO COMPUTER SYSTEMS (USA), INC.",1.0
SULLIVAN AND COMPANY MARKETING COLLATERAL LLC,1.0
SEVEN BRIDGES ADVISORS LLC,1.0
SUGIO LLC,1.0
"SUGAR NYC, INC.",1.0
"SEVEN POINTS CAPITAL, LLC",1.0
SEVERUD ASSOCIATES CONSULTING ENGINEERS PC,1.0
SUDLER & HENNESSEY,1.0
SEWARD & KISSEL LLP,1.0
"SUBURBAN PHARMACY LTC, INC.",1.0
"SEXY LASER HAIR REMOVAL, INC.",1.0
SUBIN ASSOCIATES LLP,1.0
"SU-RAJ INTERGOLD, INC.",1.0
STYLIST FASHION INC.,1.0
"STYLESIGHT, INC.",1.0
STYLE N MERCHANDISING CORP,1.0
"SG AMERICAS SECURITES, LLC",1.0
STUX ART LLC,1.0
SG INTERNATIONAL INC.,1.0
SUMOFUS,1.0
"SENTRANA, INC.",1.0
SEABURY ADVISORS LLC,1.0
SUN POWER CONSULTING LLC,1.0
SEAC USA CORPORATION,1.0
"SUNSHINE REALTY MANAGEMENT, LLC",1.0
SEAMLESS GRUBHUB HOLDINGS INC,1.0
"SEAMLESS NORTH AMERICA, LLC",1.0
"SEAN KELLY, INC.",1.0
"SUNRISE SYSTEMS, INC.",1.0
SUNRISE SUCCESS INC.,1.0
SEARS HOLDINGS MANAGEMENT CORPORATION,1.0
SEAVUS USA INC,1.0
SEBELLA BRANDS LLC,1.0
"SECCO SQUARED, LLC",1.0
SUNRISE SECURITIES CORP.,1.0
"SECOR ASSET MANAGEMENT, LP",1.0
"SUNRISE FINANCIAL GROUP, INC.",1.0
"SECRETARIAT INTERNATIONAL, INC.",1.0
SECURANCE LLC,1.0
"SECURE ENDPOINTS, INC.",1.0
SECURITY BENEFIT CORPORATION,1.0
SUNGARD SYSTEMS INTERNATIONAL,1.0
SUNGARD INVESTMENT SYSTEMS LLC,1.0
SEER CAPITAL MANAGEMENT LP,1.0
SUNGARD FINANCIAL SYSTEMS LLC,1.0
"SEHERA ENTERPRISES, INC.",1.0
"SUNGARD CONSULTING SERVICES, INC.",1.0
SUNGARD AVANTGARD LLC,1.0
"SEI - NEW YORK, LLC",1.0
SELERANT CORP.,1.0
SUNBELT BEVERAGE COMPANY LLC,1.0
"SELLERS INTERNATIONAL, LLC",1.0
SYPARTNERS LLC,1.0
"SYSFORE TECHNOLOGIES, INC.",1.0
S & H USA INC,1.0
TECH TAMMINA LLC,1.0
"TECHNICOLOR CREATIVE SERVICES USA, INC.",1.0
"TECHNICAL CAREER INSTITUTES, INC",1.0
"TECHMEDIANETWORK, INC.",1.0
SAFANAD INC.,1.0
"SAFARI ENERGY, LLC",1.0
"TECHMAGIX, INC.",1.0
"SAGE IT, INC.",1.0
"TECHGENE SOLUTIONS, LLC",1.0
"SAGENT ADVISORS, INC.",1.0
"SAGENT ADVISORS, LLC",1.0
"TECHASPECT SOLUTIONS, INC.",1.0
SAGEWORKS INC.,1.0
SAHARA DREAMS LLC,1.0
SAHARA REPORTERS MEDIA GROUP INC.,1.0
"SAHI SOFTTECH, INC",1.0
SATURN TECH LLC,1.0
"TEAMAMERICA, INC",1.0
"SAIERS CAPITAL, LLC",1.0
SAIL ADVISORS RESEARCH INC.,1.0
SAINT & LIBERTINE NEW YORK LLC,1.0
SAINT DAVID'S SCHOOL,1.0
TDAM USA INC.,1.0
"TC RES, LLC",1.0
SAITO LAW GROUP,1.0
SAITO LLP,1.0
SAKS & COMPANY,1.0
TBS SHIPPING SERVICES INC.,1.0
TAYLOR & TAYLOR ASSOCIATES INC.,1.0
TAXI INC.,1.0
"TAX TECHNOLOGIES, INC.",1.0
TECHNO STAFFING INC.,1.0
TECHNO-COMP INC,1.0
"TECHNOCRAFT SOLUTIONS, LLC",1.0
SAAVN LLC,1.0
"TEMPOSITIONS, INC.",1.0
"TEMIS, INC.",1.0
"TELX GROUP, INC.",1.0
"TELVENT USA, LLC",1.0
S R INTERNATIONAL INC.,1.0
S RICCI AMERICA INC,1.0
"S RUSSELL GROVES ARCHITECT, PC",1.0
S&B COUTURE INC,1.0
"TELLAPART, INC.",1.0
"TELKITE SERVICES, INC.",1.0
S&R PROFESSIONALS L.P,1.0
"S-NETWORK GLOBAL INDEXES, INC.",1.0
"TEKRELIANCE, LLC",1.0
"S. DESIGNS, LLC",1.0
TEKMARK GLOBAL SOLUTIONS LLC,1.0
"S. VINODKUMAR USA, INC.",1.0
"S.A.C. CAPITAL ADVISORS, L.P.",1.0
S.A.V. ASSOCIATES INC.,1.0
"TEJ TECHNOLOGIES, INC.",1.0
TED BAKER LIMITED,1.0
"S4 STYLE, INC.",1.0
SA 61ST MANAGEMENT LLC,1.0
"SAAMEERI, INC.",1.0
"TECTONIC FLOORING U.S.A., LLC",1.0
"TECHNOTEC, INC.",1.0
TECHNOSPHERE INC.,1.0
TECHNOLOGY SOFTWARE INC,1.0
TECHNOLOGY PARTNERS ASSOCIATES INC.,1.0
TECHNOFINA INC,1.0
SAKSOFT INC.,1.0
SALAURMOR MANAGEMENT LLC,1.0
TAX AID ACCOUNTING SERVICES,1.0
"TAKIHYO CO., LTD",1.0
"TAKE-2 PRODUCTIONS, LLC",1.0
"SANVISTA, INC.",1.0
"TAKE THE INTERVIEW, INC.",1.0
TAKAT GEMS USA INC.,1.0
TAJ PALACE INC.,1.0
TAILGATE CLOTHING COMPANY CORP,1.0
TAIJI BODY WORK INC.,1.0
TAI PING CARPETS AMERICA INC.,1.0
SAPHIRE SOLUTIONS INC,1.0
TAG WORLDWIDE (USA) INC.,1.0
TACONIC CAPITAL ADVISORS LP,1.0
SAPPHIRE SOFTWARE SOLUTIONS INC,1.0
"SAPPHIRE SOFTWARE SOLUTIONS, INC.",1.0
"SARA MOONVES, LLC",1.0
TAA APPAREL INC,1.0
"T3 TRADING GROUP, LLC",1.0
"T.D. WANG ADVERTISING GROUP, LLC",1.0
"T.A. MCKAY & CO., INC.",1.0
"SARAMAX APPAREL GROUP, INC.",1.0
T. CHOITHRAM & SONS (USA) INC,1.0
SARAR USA - INC.,1.0
SYSVINE TECHNOLOGIES INC.,1.0
"SARATOGA ASSOC. LANDSCAPE ARCH.,ARCH.,ENGINEERS &",1.0
"SYSTEM SOFT TECHNOLOGIES, LLC",1.0
SYSTEM EDGE (USA) LLC,1.0
SARKISSIAN MASON,1.0
SATIN SOLUTIONS LLC,1.0
SATORI CONSULTING,1.0
"SATURDAYS SURF, LLC",1.0
"SANTANDER INVESTMENT SECURITIES, INC.",1.0
TALENT9 INC,1.0
"SALON ZIBA (ZIBA MODE, INC.)",1.0
TALENTBLOC INC.,1.0
TAVISHA GEMS INC.,1.0
"TAUNTON INTERACTIVE, INC.",1.0
TAU INVESTMENT MANAGEMENT LLC,1.0
"TARTER KRINSKY & DROGIN, LLP",1.0
TARDIS GROUP NEW YORK INC.,1.0
TAPJOY INC,1.0
"SAMOO ARCHITECTURE, PC",1.0
"SAMSON SOFTWARE SOLUTIONS, INC",1.0
TAP ADVISORS LLC,1.0
"TAOCON, INC.",1.0
SAMUEL ISALY,1.0
TANISHA SYSTEMS INC.,1.0
"TANGERINE-LORD, LLC",1.0
"SAN HOLDINGS, LLC",1.0
"TANGERINE LORD, INC",1.0
TANENBAUM CENTER FOR INTERRELIGIOUS UNDERSTANDING,1.0
SANDEEP DIAMOND CORPORATION,1.0
"TANDEMSEVEN, INC.",1.0
TAMARES MANAGEMENT LLC,1.0
TAMARA MELLON BRAND LLC,1.0
"TAMANOI VINEGAR CO., LTD.",1.0
SANDLER CAPITAL MANAGEMENT,1.0
SANKY COMMUNICATIONS INC.,1.0
SANKYO FLUTES USA LLC,1.0
"TALENTHUB WORLDWIDE, INC.",1.0
SANTANDER BANK,1.0
SANTANDER BANK N.A.,1.0
TALENTHUB WORLDWIDE INC,1.0
"TALENTED IT, INC.",1.0
SGATNYC LLC,1.0
"STUDLEY, INC.",1.0
SGH MACRO ADVISORS LLC,1.0
"SMART APPAREL (U.S.), INC.",1.0
"SPRINGER SCIENCE AND BUSINESS MEDIA, LLC",1.0
"SPRING MOVES, INC.",1.0
SLATE NYC INC,1.0
"SPRING DESIGN PARTNERS, INC.",1.0
"SPRING CREEK GROUP, L.L.C.",1.0
SLATE PROPERTY GROUP LLC,1.0
SPRI-BASQUE TRADE COMMISSION INC.,1.0
"SPRI BASQUE TRADE COMMISSION, INC.",1.0
"SLCE ARCHITECTS, LLP",1.0
SPORTSVITE LLC,1.0
"SLK DESIGNS, LLC",1.0
SMAATO INC.,1.0
"SMALLARC, INC.",1.0
"SMARSH, INC.",1.0
SMART TRADE TECHNOLOGIES USA LLC,1.0
"SHAH DIAMONDS, INC.",1.0
SPORTS INVESTMENT COMPANY LLC,1.0
"SPORT195, INC.",1.0
SPORT195 INC.,1.0
"SPLN INTERNATIONAL, LLC.",1.0
SPLN INTERNATIONAL LLC,1.0
SPLASH (NEW YORK) INC.,1.0
SPITZBERG PARTNERS LLC,1.0
"SPINEART USA, INC.",1.0
"SMARTER TRAVEL MEDIA, LLC",1.0
SMARTINSIGHT LLC,1.0
"SMARTINSIGHT, LLC",1.0
SPG ARCHITECTS,1.0
"SMARTSHIFT TECHNOLOGIES, INC.",1.0
"SPERIDIAN TECHNOLOGIES, LLC",1.0
SPRUCE TECHNOLOGY INC.,1.0
SQA CONCEPTS INC,1.0
SLADE ARCHITECTURE,1.0
SL CLOTHING CO. LLC,1.0
STANACARD LLC,1.0
"SIX SIGMA ACADEMY INTERNATIONAL, LLC",1.0
SIX SIGMA INC USA,1.0
STAG & HARE INN LLC,1.0
"STACH & LIU, LLC",1.0
"SIX SPOKE MEDIA, LLC.",1.0
SJG FOODS LLC,1.0
"SJG FOODS, INC.",1.0
"SJG FOODS, LLC.",1.0
"SKADDEN, ARPS, SLATE, MEAGHER AND FLOM LLP",1.0
"SKF INTERNATIOAL, INC",1.0
"SKF INTERNATIONAL, INC.",1.0
"ST, LUKE'S-ROOSEVELT HOSPITAL CENTER",1.0
SSCG MEDIA GROUP LLC,1.0
"SRS INVESTMENT MANAGEMENT, LLC",1.0
SKILLSIGHT INC.,1.0
"SRNL INTERNATIONAL, INC",1.0
"SRIVEN TECHNOLOGIES, LLC",1.0
SKULD NORTH AMERICA INC.,1.0
"SRIVEN SYSTEMS, INC.",1.0
"SKY TESTING SERVICES, INC.",1.0
SQUISHYCUTE.COM LLC,1.0
"SKYBRIDGE CAPITAL II, LLC",1.0
SQUEAKY WHEEL MEDIA INCORPORATED,1.0
SKYLINE MEDICAL INC.,1.0
SKYLINE TOURS LLC,1.0
SKYNET MEDIA LLC,1.0
"SQL TECHNOLOGIES, INC.",1.0
"SKYTOP CAPITAL MANAGEMENT, LLC",1.0
"SPENCER ROAD, INC.",1.0
"SPECTRA INFO SYSTEMS, INC.",1.0
"SPECIAL COUNSEL, INC.",1.0
"SOULCYCLE HOLDINGS, LLC",1.0
SOFTCOM SYSTEMS INC.,1.0
"SOFTCON USA, INC.",1.0
"SOFTCORP INTERNATIONAL, INC.",1.0
"SOFTCRYLIC, LLC",1.0
"SOFTECH INTERNATIONAL RESOURCES, INC.",1.0
SOTHEBYS INC.,1.0
"SOTERIX MEDICAL, INC.",1.0
SOFTPATH TECHNOLOGIES LLC,1.0
SOFTTECH SOURCE,1.0
SOPHIS LLC,1.0
"SOFTTEK INTEGRATION SYSTEMS, INC.",1.0
SONENSHINE PARTNERS LLC,1.0
"SOFTWARE AG USA, INC.",1.0
SOMERSET PARTNERS LLC,1.0
"SOLVE, INC.",1.0
SOLUTION PROVIDERS USA INC.,1.0
SOFTWARE GENIUS INC.,1.0
SOLUTION PARTNERS NA LLC,1.0
SOLUTION IT,1.0
SOFTWARE PROFESSIONALS INC,1.0
"SOLSTISS, INC.",1.0
SOLSTISS,1.0
SOHO GRAND HOTEL INC.,1.0
SOLOMON SCHECHTER SCHOOL OF MANHATTAN,1.0
"SOLIYA, INC.",1.0
"SOHO HOUSE NEW YORK, LLC",1.0
SOHO PROPERTIES DEVELOPMENT LLC,1.0
SOIMEX DENIMAGIC INC,1.0
"SOLARFLARE COMMUNICATIONS, INC.",1.0
SOTHERN CROSS HOSPITALITY,1.0
"SOUND POINT CAPITAL MANAGEMENT, LP",1.0
"SPC GLOBAL, LLC",1.0
SOCURE INC.,1.0
"SME, INC.",1.0
SMI CONSTRUCTION MANAGEMENT CORPORATION,1.0
"SPARITY, INC.",1.0
"SMILE TRAIN, INC.",1.0
SMITH AFFILIATED CAPITAL CORPORATION,1.0
"SMITH-MILLER + HAWKINSON ARCHITECTS, LLP.",1.0
"SPANFELLER MEDIA GROUP, INC.",1.0
SMITHSONIAN INSTITUTION,1.0
SPAN ARCHITECTURE,1.0
SMS PHARMACY CORP,1.0
SPACE4ARCHITECTURE PC,1.0
SN PROFESSIONAL LLC,1.0
SPACE4ARCHITECTURE,1.0
"SNAP INTERACTIVE, INC.",1.0
"SNAP, INC",1.0
SPACE NK NEW YORK LLC,1.0
"SOZO ARTISTS, INC.",1.0
SNR DENTON US LLP,1.0
SO-IL OFFICE LTD,1.0
SOCCER UNITED MARKETING,1.0
SOCIAL ASSETS LLC,1.0
SOVARNUM CAPITAL LP,1.0
SOUTHERN CROSS HOSPITALITY,1.0
SOURCEMEDIA,1.0
"SOURCE MANTRA, INC.",1.0
SOCIAL MEDIA LINK LLC,1.0
SOURCE MANTRA INC.,1.0
SOCIOCAST NETWORKS LLC,1.0
"SOCRATA, INC.",1.0
"STANACARD, LLC",1.0
STANDARD &POOR'S FINANCIAL SERVICES LLC,1.0
"STANDARD AMERICAS, INC.",1.0
"STRANDED MEDIA, LLC",1.0
"STOUT RISIUS ROSS, INC.",1.0
"SHINING HOPE FOR COMMUNITIES, INC.",1.0
STORY WORLDWIDE HOLDINGS LLC,1.0
SHIPLEY AND HALMOS LLC,1.0
STOREFRONT FOR ART AND ARCHITECTURE,1.0
STONEPEAK PARTNERS LP,1.0
STONELY PELSINSKI ARCHITECTS NEUKOMM LLC,1.0
"SHOCKING PINK, INC.",1.0
"SHOP CONSTRUCTION SERVICES, LLC",1.0
STONECASTLE CASH MANAGEMENT LLC,1.0
STONE SOURCE. LLC,1.0
"SHOPTIQUES, INC",1.0
"STOLI GROUP (USA), LLC",1.0
STOELZLE GLASS USA INC.,1.0
SHRINEETA PHARMACY INC.,1.0
"SHUTTERFLY, INC.",1.0
"STIFEL, NICOLAUS, &AMP; COMPANY, INC.",1.0
SHYAM AHUJA PVT LTD,1.0
"STEVENS, HINDS & WHITE, P.C.",1.0
"STEVENS & COMPANY, LLC",1.0
SIBERTEKTURE ARCHITECT PLLC,1.0
SIBILLA CAPITAL RESEARCH LLC,1.0
"STEVEN ALAN OPERATIONS, LLC",1.0
"STERNE, AGEE & LEACH, INC.",1.0
"STERNE AGEE GROUP, INC.",1.0
STERN VALUE MANAGEMENT LTD.,1.0
STERN TANNENBAUM & BELL LLP,1.0
"STERN PROJECTS, LLC",1.0
SIEGEL & GALE LLC,1.0
"STRALEM & COMPANY, INC.",1.0
STRANG HAYES HOLDING CORP.,1.0
"STERLING LORD LITERISTIC, INC.",1.0
STRATEGIC FINANCIAL SOLUTIONS,1.0
SHAHID MIAN M.D. PC,1.0
STUDIO SOFIELD INC.,1.0
SHAMEEZA EMBROIDERIES INC.,1.0
"SHANGHAI SHENDA (AMERICA), LLC",1.0
"STUDIO RAY, LLC",1.0
SHANGRI-LA FOLK MUSIC & CULTURE,1.0
SHANI INTERNATIONAL CORPORATION,1.0
STUDIO MONTELEONE AND ASSOCIATES LTD.,1.0
STUDIO GAIA,1.0
"SHANNON RIVER FUND MANAGEMENT, LLC",1.0
"SHAOKAO, INC.",1.0
"STUDIO ARTHUR CASAS NY, LLC",1.0
"SHAREDSERVICESLINK, INC.",1.0
SHARP DECISIONS INC.,1.0
STUDIO ARTHUR CASAS NY LLC,1.0
"SHARP DECISIONS, INC.",1.0
STUDIO 3 PARTNERS LLC,1.0
"STUART WEITZMAN HOLDINGS, LLC",1.0
STUART WEITZMAN HOLDINGS LLC,1.0
SHEARLINK CAPITAL LLC,1.0
"STREVUS, INC.",1.0
"SHEFI DIAMONDS, INC.",1.0
"SHELTON, MINDEL & ASSOCIATES, INC.",1.0
"STREET DILIGENCE, INC.",1.0
SHEPPARD MULLIN RICHTER & HAMPTON LLP,1.0
SHERMANS TRAVEL MEDIA LLC,1.0
"STREEBO, INC.",1.0
"SHIMOMURA & CO., CPAS, P.C.",1.0
STRAWBERRYFROG,1.0
STERLING RIDGE CAPITAL MANAGEMENT LP,1.0
"SIEGFRIED'S BASEMENT, LLC",1.0
"SITRION, INC.",1.0
"SIMPLETHERAPY, INC.",1.0
"SIMPLEX INFO SYSTEMS, INC",1.0
SIMPLEXDIAM INC,1.0
STARWORKS LLC,1.0
SIMPSON THACHER &AMP; BARTLETT LLP,1.0
SIMS GROUP USA HOLDINGS CORPORATION,1.0
SIMULMEDIA INC,1.0
"SINDELL LAW OFFICES, P.C.",1.0
STARWOOD HOTELS & RESORTS WORLDWIDE INC.,1.0
SINGULARITY INTERNATIONAL CORPORATION,1.0
STARTS NEW YORK REALTY LLC,1.0
"SINO TELEVISION, INC.",1.0
STARRIFIC,1.0
"STARR INVESTMENTS HOLDINGS, LLC",1.0
SINTEC MEDIA INC.,1.0
STARR INDEMNITY &AMP; LIABILITY COMPANY,1.0
"STAR SOLITAIRE, INC.",1.0
STAR MANAGEMENT SERVICES LLC,1.0
STAPLE DESIGN STUDIO INC.,1.0
STANSOURCE INC,1.0
STANLEY T. STAIRS,1.0
"STANFORD NEW YORK, LLC",1.0
STANDARD POOR'S FINANCIAL SERVICES LLC,1.0
SIS INTERNATIONAL RESEARCH INC.,1.0
"SIS INTERNATIONAL RESEARCH, INC",1.0
SISENSE INC.,1.0
"STANDARD NEW YORK SECURITIES, INC.",1.0
"STANDARD INTERNATIONAL MANAGEMENT, LLC",1.0
SITA CORP,1.0
"SITE SAFETY, LLC",1.0
STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,1.0
"STATTEK INTERNATIONAL, INC",1.0
SIEMENS INDUSTRY INC.,1.0
STEADFAST FINANCIAL LP,1.0
STEPSTONE GROUP LP,1.0
"SIERRA CAPITAL, LLC",1.0
"SIERRA INFOSYS, INC",1.0
"SIERRA-CEDAR, INC.",1.0
"SIGMA CAPITAL MANAGEMENT, LLC",1.0
STEPHEN WEBSTER,1.0
"SIGNATURE BUILDING SYSTEMS, INC.",1.0
"SIGNATURE GROUP HOLDINGS, INC.",1.0
"SIGNATURE THEATRE COMPANY, INC.",1.0
"STEPHEN B. JACOBS GROUP, P.C.",1.0
SIGNPOST INC.,1.0
"STEPHAN & COMPANY ACCESSORIES, LTD.",1.0
"SIGULER GUFF & COMPANY, LP",1.0
SILENT MODELS USA LLC,1.0
"SILICON ALLEY INSIDER, INC.",1.0
SILKSTONEONE LLC,1.0
STELLA SOURCING LLC,1.0
SILVEIRA ATHIAS SORIANO DE MELLO GUIMARAES PINHEIR,1.0
"STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, CUNY",1.0
STELLA ADLER ACTING STUDIO,1.0
"SILVERTHREAD FALLS NYC, LLC",1.0
STELAC ADVISORY SERVICES LLC,1.0
"STEINBERG, STECKLER & PICCIURRO, CPA'S, P.C.",1.0
"STEINBERG ASSET MANAGEMENT, LLC",1.0
SIMINA CAPITAL ADVISORS,1.0
SIMIT & SMITH INC.,1.0
"SIMON WIESENTHAL CENTER, INC.",1.0
STEGINSKY CAPITAL LLC,1.0
STEAM MOTION AND SOUND US INC,1.0
"S GOLDMAN ADVISORS, LLC",1.0
TENCENT AMERICA LLC,1.0
"PUIG USA, INC.",1.0
"RDG TECHNOLOGIES, INC.",1.0
"THUNDERHEAD, INC.",1.0
RAVEN RECOVERY NUTRACEUTICALS LLC,1.0
"THREE ONE NYC, INC.",1.0
RB INTERNATIONAL MARKETS (USA) LLC,1.0
THOR HIGH STREET ADVISORS LLC,1.0
RBSM LLP,1.0
THOMSON REUTERS (TAX AND ACCOUNTING) INC.,1.0
"THOMSON REUTERS (TAX & ACCOUNTING) SERVICES, INC.",1.0
"RCG INFORMATION TECHNOLOGY, INC",1.0
THOMPSON HOTEL ASSOCIATES LLC,1.0
"THOMAS PHIFER AND PARTNERS, LLP",1.0
THOMAS JUUL-HANSEN LLC,1.0
THOMAS HO COMPANY,1.0
RDA INTERNATIONAL INC,1.0
"THOMAS BALSLEY ASSOCIATES LANDSCAPE ARCHITECTURE,",1.0
"RALPH APPELBAUM ASSOCIATES, INC.",1.0
RDK PARTNERS LLC,1.0
THOMAS BALSLEY ASSOCIATES,1.0
"THOM BROWNE, INC.",1.0
THIRDWARE SOLUTION INC.,1.0
THINKFUL INC,1.0
THINK TREE TECHNOLOGIES INC.,1.0
READY SET ROCKET LLC,1.0
"THINK PASSENGER, INC",1.0
"THINK BIG ANALYTICS, INC.",1.0
THINGLE INC. .,1.0
"REAL ESTATE SYSTEMS IMPLEMENTATION GROUP, LLC",1.0
THINAIRE TRANSMEDIA NETWORK INC.,1.0
"REAL FOUNDATION, INC.",1.0
THIERRY INC. DBA LE CHARLOT,1.0
TIAA-CREF,1.0
"RAT PROJECTS, INC.",1.0
TIBI LLC,1.0
"TICKETS.COM, INC.",1.0
TIS AMERICA INC.,1.0
"TIMES SQUARE DISTRICT MANAGEMENT ASSOCIATION, INC.",1.0
TIMES OF REFRESHING CHRISTIAN (TORCC-NY),1.0
RAM COMPU-CREATION INC.,1.0
RAMANI GROUP LLC,1.0
"RAMERICA INTERNATIONAL, INC.",1.0
TIMEBLEND INC,1.0
"RAMIUS ALTERNATIVE SOLUTIONS, LLC",1.0
RAMIUS LLC,1.0
RAMPS INTERNATIONAL INC.,1.0
TIME SQUARE CAPITAL LLC,1.0
RAMS IMPORTS INC.,1.0
RANA LAW FIRM PC,1.0
RAND ENGINEERING & ARCHITECTURE P.C.,1.0
RANDSTAD TECHNOLOGIES LP,1.0
"TIME FREEZE, INC.",1.0
"TIME FLASH, LLC",1.0
RANDSTAD TECHNOLOGIES LP D/B/A B2B WORKFORCE TECHN,1.0
"TILLOTSON TECHNOLOGIES, LLC",1.0
"TILLOTSON DESIGN ASSOCIATES, INC.",1.0
TIGRIS GROUP INC.,1.0
"RANG TECHNOLOGIES, INC.",1.0
RANGAM CONSULTANTS INC.,1.0
"RANSD DESIGN, INC",1.0
RAPAPORT DIAMOND CORPORATION,1.0
"RAPAPORT INTERNATIONAL, LLC",1.0
TIGHT MEDIA INC,1.0
RAPID FILING SERVICES,1.0
"TIGERTRADE SERVICES, INC.",1.0
THESYS TECHNOLOGIES LLC,1.0
REAL HOSPITALITY GROUP LLC,1.0
"THESTREET.COM, INC.",1.0
REDDYMADE DESIGN LLC,1.0
REDHOUSE CAPITAL MANAGEMENT LLC,1.0
THE VAS GROUP,1.0
THE VANITY ROOM,1.0
REDI GLOBAL TECHNOLGIES LLC,1.0
THE UNIVERSITY OF ARIZONA,1.0
REDKITE LLC,1.0
THE UNITED SOLUTIONS GROUP INC.,1.0
"THE TJX COMPANIES, INC.",1.0
"THE SWEDISH AMERICAN CHAMBER OF COMMERCE, INC.",1.0
REDSCOUT LLC,1.0
THE SWEATSHOP COLLECTIVE LLC,1.0
"THE SUPPORT GROUP, INC.",1.0
REDTOP ARCHITECTS,1.0
THE ST. REGIS NEW YORK,1.0
REED ELSEVIER INC.,1.0
"THE SOUND RESEARCH USA, INC.",1.0
THE SEGAL COMPANY,1.0
REED SMITH LLP,1.0
"REFINERY POST PRODUCTIONS, INC.",1.0
REFINERY29 INC.,1.0
"THE SECOND LSC, LTD",1.0
REGAL HOME COLLECTIONS INC,1.0
THE SARAH JANE BRAIN FOUNDATION,1.0
REGENERATION CAPITAL GROUP LLC,1.0
THE RUCHELMAN LAW FIRM,1.0
"REGION TECHNOLOGIES, INC.",1.0
REGIONAL PLAN ASSOCIATION,1.0
"REID & WISE CONSULTING, LLC",1.0
REIKEN CONSTRUCTION MGMT INC.,1.0
"REDDYMADE DESIGN, LLC",1.0
THE VISION LAB LLC,1.0
THESKIMM INC.,1.0
THE WALL STREET TRANSCRIPT CORPORATION,1.0
"REALNETWORKS, INC.",1.0
"REALPAGE, INC.",1.0
"REALTY CAPITAL SECURITIES, LLC.",1.0
"THEODORE COX, ESQ., ATTORNEY AT LAW",1.0
"THEME SOFT, INC.",1.0
"THELADDERS.COM, INC.",1.0
THEBIGWORD INC.,1.0
"THEATERMANIA.COM, INC.",1.0
REBECCA SOLOW,1.0
REBOOT USA LLC,1.0
"RECOGNITION MEDIA, LLC",1.0
"RECOMBINE, INC.",1.0
THE ZOE PAGNAMENTA AGENCY LLC,1.0
"THE YIP HARBURG FOUNDATION, INC.",1.0
"RECOVERY PHYSICAL THERAPY, PC",1.0
"RECP-WEST, INC.",1.0
THE WORKS PERSONAL TRAINING INC.,1.0
THE WOOSTER GROUP,1.0
THE WINE ANGEL INC.,1.0
"RED ASSOCIATES U.S., INC.",1.0
"RED BALLOON SECURITY, INC.",1.0
"RED ELEPHANT ROOM, INC.",1.0
"THE WICKS GROUP OF COMPANIES III, LLC",1.0
RED FUSE NEW YORK LLC,1.0
RED PEAK GROUP LLC,1.0
"REDAC, INC",1.0
REDBURN (USA) LLC,1.0
"THE WEATHER CHANNEL, LLC",1.0
THE WARWICK HOTEL,1.0
TISHMAN SPEYER,1.0
TISHMAN SPEYER PROPERTIES,1.0
TENDELTA LLC,1.0
QUALITY BUILDING SERVICES,1.0
QED INC.,1.0
QFR CAPITAL MANAGEMENT LP,1.0
"QISON, INC.",1.0
QNARY LLC,1.0
QNY CREATIVE CORP.,1.0
"QS INVESTORS HOLDINGS, LLC",1.0
QUAD CAPITAL LLC,1.0
"TRANSPERFECT DOCUMENT MANAGEMENT, INC.",1.0
TRANSLATEMEDIA LLC,1.0
TRANSFORMATIVE HEALTH LLC,1.0
TRANSATLANTIQUE PRIVATE WEALTH LLC,1.0
QUALIHI SOFTWARE SOLUTIONS INC.,1.0
"TRAFFIC, INC.",1.0
TRADITION FINANCIAL SERVICES INC.,1.0
TRADITION (NORTH AMERICA) INC.,1.0
TITAN TECHNOLOGIES INC,1.0
TRADINGSCREEN INC,1.0
"TRADING SYSTEMS ASSOCIATES, INC.",1.0
TRADENYX INC.,1.0
TRADE THE NEWS INC,1.0
"QUANTITATIVE BROKERS, LLC",1.0
TQUATE INC.,1.0
TPLUS TECHNOLOGY LP,1.0
"TPG-AXON CAPITAL MANAGEMENT, L.P.",1.0
"TPG CAPITAL, L.P.",1.0
TOWNSEND HOLDINGS LLC,1.0
"QUANTUM INFOTECH, INC.",1.0
QUANTUS HOLDINGS LLC,1.0
"TOWNHOUSE PARTNERS CONSULTING, LLC",1.0
QUASAR TRADING LLC,1.0
TRANTOR INC.,1.0
"TRAVELONG, INC.",1.0
QBE AMERICAS INC,1.0
TRAVMEDIA USA LLC,1.0
"TRINITY PARTNERS, LLC",1.0
PULSE ADVISORY LLC,1.0
PULSE3TV LLC,1.0
PURE & APPLIED INC.,1.0
"TRIMOND CONSTRUCTION, INC",1.0
PURE GROWTH CONSULTING LLC,1.0
PURESCIENCE APPLICATIONS LLC,1.0
"PURESURFACE, INC.",1.0
"TRILANTIC CAPITAL MANAGEMENT, L.P.",1.0
PURPOSE ACTION INC.,1.0
"TRIDENT INVESTMENT MANAGEMENT, LLC",1.0
PURPOSE FOUNDATION,1.0
PVH CORP.,1.0
"TRICADIA HOLDINGS, LP",1.0
"PVH RETAIL STORES, INC.",1.0
"TRICADIA HOLDINGS, L.P.",1.0
PWC STRATEGY (US) INC.,1.0
PWC STRATEGY& (US ) INC.,1.0
